REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2018 ","PERCENT OF PERSONS
AGES 25-64
2018","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2018","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2018"
"California, Congressional District 44 (113th - current)",Not a high school graduate,"120,000",31.7,30.4,32.9
"California, Congressional District 44 (113th - current)",High school diploma or GED,"187,000",49.4,48.0,50.9
"California, Congressional District 44 (113th - current)",Associate's Degree,"21,000",5.5,5.0,6.1
"California, Congressional District 44 (113th - current)",Bachelor's Degree,"36,000",9.6,8.8,10.4
"California, Congressional District 44 (113th - current)",Graduate Degree,"14,000",3.8,3.2,4.3
"California, Congressional District 45 (113th - current)",Not a high school graduate,"28,000",6.5,5.4,7.7
"California, Congressional District 45 (113th - current)",High school diploma or GED,"119,000",27.9,26.6,29.3
"California, Congressional District 45 (113th - current)",Associate's Degree,"33,000",7.7,7.0,8.5
"California, Congressional District 45 (113th - current)",Bachelor's Degree,"155,000",36.3,35.0,37.6
"California, Congressional District 45 (113th - current)",Graduate Degree,"92,000",21.5,20.3,22.6
"California, Congressional District 46 (113th - current)",Not a high school graduate,"110,000",27.8,26.5,29.2
"California, Congressional District 46 (113th - current)",High school diploma or GED,"180,000",45.4,43.9,46.9
"California, Congressional District 46 (113th - current)",Associate's Degree,"23,000",5.8,5.1,6.4
"California, Congressional District 46 (113th - current)",Bachelor's Degree,"62,000",15.6,14.6,16.7
"California, Congressional District 46 (113th - current)",Graduate Degree,"21,000",5.4,4.8,6.0
"California, Congressional District 47 (113th - current)",Not a high school graduate,"69,000",16.9,15.9,17.9
"California, Congressional District 47 (113th - current)",High school diploma or GED,"168,000",41.5,40.1,42.9
"California, Congressional District 47 (113th - current)",Associate's Degree,"34,000",8.3,7.7,9.0
"California, Congressional District 47 (113th - current)",Bachelor's Degree,"94,000",23.2,22.1,24.3
"California, Congressional District 47 (113th - current)",Graduate Degree,"41,000",10.1,9.4,10.8
"California, Congressional District 48 (113th - current)",Not a high school graduate,"34,000",8.4,7.7,9.2
"California, Congressional District 48 (113th - current)",High school diploma or GED,"143,000",35.8,34.4,37.2
"California, Congressional District 48 (113th - current)",Associate's Degree,"29,000",7.3,6.6,8.0
"California, Congressional District 48 (113th - current)",Bachelor's Degree,"125,000",31.3,30.1,32.4
"California, Congressional District 48 (113th - current)",Graduate Degree,"69,000",17.2,16.3,18.1
"California, Congressional District 49 (113th - current)",Not a high school graduate,"34,000",8.8,7.9,9.8
"California, Congressional District 49 (113th - current)",High school diploma or GED,"144,000",37.8,36.3,39.4
"California, Congressional District 49 (113th - current)",Associate's Degree,"34,000",8.8,7.9,9.8
"California, Congressional District 49 (113th - current)",Bachelor's Degree,"107,000",28.0,26.8,29.3
"California, Congressional District 49 (113th - current)",Graduate Degree,"63,000",16.5,15.3,17.6
"California, Congressional District 50 (113th - current)",Not a high school graduate,"47,000",12.0,11.1,13.0
"California, Congressional District 50 (113th - current)",High school diploma or GED,"201,000",51.0,49.4,52.6
"California, Congressional District 50 (113th - current)",Associate's Degree,"35,000",9.0,8.2,9.8
"California, Congressional District 50 (113th - current)",Bachelor's Degree,"73,000",18.6,17.7,19.6
"California, Congressional District 50 (113th - current)",Graduate Degree,"37,000",9.3,8.6,10.1
"California, Congressional District 51 (113th - current)",Not a high school graduate,"101,000",26.1,24.7,27.5
"California, Congressional District 51 (113th - current)",High school diploma or GED,"197,000",50.6,48.9,52.4
"California, Congressional District 51 (113th - current)",Associate's Degree,"28,000",7.2,6.5,7.9
"California, Congressional District 51 (113th - current)",Bachelor's Degree,"46,000",11.8,10.8,12.9
"California, Congressional District 51 (113th - current)",Graduate Degree,"17,000",4.3,3.6,4.9
"California, Congressional District 52 (113th - current)",Not a high school graduate,"20,000",4.6,3.9,5.2
"California, Congressional District 52 (113th - current)",High school diploma or GED,"111,000",26.0,24.7,27.4
"California, Congressional District 52 (113th - current)",Associate's Degree,"32,000",7.4,6.7,8.2
"California, Congressional District 52 (113th - current)",Bachelor's Degree,"150,000",35.2,33.8,36.5
"California, Congressional District 52 (113th - current)",Graduate Degree,"115,000",26.8,25.7,27.9
"California, Congressional District 53 (113th - current)",Not a high school graduate,"41,000",9.1,8.3,10.0
"California, Congressional District 53 (113th - current)",High school diploma or GED,"194,000",43.5,41.8,45.1
"California, Congressional District 53 (113th - current)",Associate's Degree,"42,000",9.4,8.6,10.2
"California, Congressional District 53 (113th - current)",Bachelor's Degree,"114,000",25.5,24.4,26.6
"California, Congressional District 53 (113th - current)",Graduate Degree,"56,000",12.6,11.7,13.4
"Colorado, Congressional District 1 (113th - current)",Not a high school graduate,"50,000",9.9,9.1,10.8
"Colorado, Congressional District 1 (113th - current)",High school diploma or GED,"164,000",32.3,30.9,33.6
"Colorado, Congressional District 1 (113th - current)",Associate's Degree,"30,000",5.8,5.3,6.4
"Colorado, Congressional District 1 (113th - current)",Bachelor's Degree,"167,000",32.7,31.7,33.8
"Colorado, Congressional District 1 (113th - current)",Graduate Degree,"98,000",19.2,18.3,20.2
"Colorado, Congressional District 2 (113th - current)",Not a high school graduate,"16,000",3.7,3.1,4.2
"Colorado, Congressional District 2 (113th - current)",High school diploma or GED,"136,000",31.7,30.2,33.1
"Colorado, Congressional District 2 (113th - current)",Associate's Degree,"34,000",7.9,7.2,8.6
"Colorado, Congressional District 2 (113th - current)",Bachelor's Degree,"149,000",34.6,33.3,35.8
"Colorado, Congressional District 2 (113th - current)",Graduate Degree,"95,000",22.1,21.2,23.1
"Colorado, Congressional District 3 (113th - current)",Not a high school graduate,"33,000",8.7,7.8,9.7
"Colorado, Congressional District 3 (113th - current)",High school diploma or GED,"196,000",51.4,49.7,53.1
"Colorado, Congressional District 3 (113th - current)",Associate's Degree,"34,000",8.9,8.2,9.7
"Colorado, Congressional District 3 (113th - current)",Bachelor's Degree,"82,000",21.3,20.2,22.5
"Colorado, Congressional District 3 (113th - current)",Graduate Degree,"36,000",9.6,8.8,10.3
"Colorado, Congressional District 4 (113th - current)",Not a high school graduate,"35,000",7.8,7.1,8.5
"Colorado, Congressional District 4 (113th - current)",High school diploma or GED,"200,000",45.2,43.9,46.6
"Colorado, Congressional District 4 (113th - current)",Associate's Degree,"45,000",10.1,9.5,10.8
"Colorado, Congressional District 4 (113th - current)",Bachelor's Degree,"112,000",25.3,24.4,26.3
"Colorado, Congressional District 4 (113th - current)",Graduate Degree,"51,000",11.5,10.8,12.1
"Colorado, Congressional District 5 (113th - current)",Not a high school graduate,"28,000",6.5,5.7,7.2
"Colorado, Congressional District 5 (113th - current)",High school diploma or GED,"190,000",44.3,42.7,45.9
"Colorado, Congressional District 5 (113th - current)",Associate's Degree,"50,000",11.5,10.7,12.4
"Colorado, Congressional District 5 (113th - current)",Bachelor's Degree,"100,000",23.3,22.2,24.3
"Colorado, Congressional District 5 (113th - current)",Graduate Degree,"62,000",14.4,13.6,15.3
"Colorado, Congressional District 6 (113th - current)",Not a high school graduate,"36,000",7.8,7.0,8.6
"Colorado, Congressional District 6 (113th - current)",High school diploma or GED,"184,000",39.9,38.5,41.3
"Colorado, Congressional District 6 (113th - current)",Associate's Degree,"43,000",9.4,8.7,10.1
"Colorado, Congressional District 6 (113th - current)",Bachelor's Degree,"127,000",27.7,26.8,28.6
"Colorado, Congressional District 6 (113th - current)",Graduate Degree,"70,000",15.1,14.4,15.9
"Colorado, Congressional District 7 (113th - current)",Not a high school graduate,"49,000",11.1,10.2,12.0
"Colorado, Congressional District 7 (113th - current)",High school diploma or GED,"194,000",44.2,42.7,45.6
"Colorado, Congressional District 7 (113th - current)",Associate's Degree,"35,000",8.0,7.4,8.6
"Colorado, Congressional District 7 (113th - current)",Bachelor's Degree,"106,000",24.2,23.2,25.2
"Colorado, Congressional District 7 (113th - current)",Graduate Degree,"55,000",12.5,11.8,13.3
"Connecticut, Congressional District 1 (113th - current)",Not a high school graduate,"29,000",7.8,7.0,8.6
"Connecticut, Congressional District 1 (113th - current)",High school diploma or GED,"163,000",43.4,41.8,44.9
"Connecticut, Congressional District 1 (113th - current)",Associate's Degree,"35,000",9.4,8.5,10.2
"Connecticut, Congressional District 1 (113th - current)",Bachelor's Degree,"86,000",22.7,21.6,23.8
"Connecticut, Congressional District 1 (113th - current)",Graduate Degree,"63,000",16.8,15.9,17.6
"Connecticut, Congressional District 2 (113th - current)",Not a high school graduate,"24,000",6.5,5.8,7.3
"Connecticut, Congressional District 2 (113th - current)",High school diploma or GED,"172,000",46.7,45.1,48.3
"Connecticut, Congressional District 2 (113th - current)",Associate's Degree,"36,000",9.6,8.8,10.4
"Connecticut, Congressional District 2 (113th - current)",Bachelor's Degree,"82,000",22.2,21.0,23.4
"Connecticut, Congressional District 2 (113th - current)",Graduate Degree,"55,000",15.0,14.0,15.9
"Connecticut, Congressional District 3 (113th - current)",Not a high school graduate,"28,000",7.5,6.6,8.3
"Connecticut, Congressional District 3 (113th - current)",High school diploma or GED,"175,000",46.5,44.8,48.1
"Connecticut, Congressional District 3 (113th - current)",Associate's Degree,"28,000",7.5,6.8,8.3
"Connecticut, Congressional District 3 (113th - current)",Bachelor's Degree,"76,000",20.2,19.0,21.4
"Connecticut, Congressional District 3 (113th - current)",Graduate Degree,"69,000",18.4,17.4,19.3
"Connecticut, Congressional District 4 (113th - current)",Not a high school graduate,"33,000",8.4,7.6,9.2
"Connecticut, Congressional District 4 (113th - current)",High school diploma or GED,"123,000",31.6,30.2,33.0
"Connecticut, Congressional District 4 (113th - current)",Associate's Degree,"25,000",6.3,5.7,7.0
"Connecticut, Congressional District 4 (113th - current)",Bachelor's Degree,"118,000",30.2,29.1,31.3
"Connecticut, Congressional District 4 (113th - current)",Graduate Degree,"91,000",23.5,22.5,24.5
"Connecticut, Congressional District 5 (113th - current)",Not a high school graduate,"34,000",9.4,8.5,10.3
"Connecticut, Congressional District 5 (113th - current)",High school diploma or GED,"162,000",44.1,42.6,45.6
"Connecticut, Congressional District 5 (113th - current)",Associate's Degree,"31,000",8.3,7.6,9.0
"Connecticut, Congressional District 5 (113th - current)",Bachelor's Degree,"85,000",23.1,21.9,24.3
"Connecticut, Congressional District 5 (113th - current)",Graduate Degree,"55,000",15.1,14.2,16.0
"Delaware, Congressional District (at Large) (113th - current)",Not a high school graduate,"47,000",9.5,8.8,10.3
"Delaware, Congressional District (at Large) (113th - current)",High school diploma or GED,"255,000",51.0,49.5,52.6
"Delaware, Congressional District (at Large) (113th - current)",Associate's Degree,"39,000",7.8,7.2,8.5
"Delaware, Congressional District (at Large) (113th - current)",Bachelor's Degree,"95,000",19.0,18.1,19.9
"Delaware, Congressional District (at Large) (113th - current)",Graduate Degree,"63,000",12.6,11.8,13.4
"District of Columbia, Delegate District (at Large) (113th - current)",Not a high school graduate,"26,000",6.3,5.6,7.1
"District of Columbia, Delegate District (at Large) (113th - current)",High school diploma or GED,"113,000",27.3,25.9,28.7
"District of Columbia, Delegate District (at Large) (113th - current)",Associate's Degree,"12,000",2.8,2.3,3.3
"District of Columbia, Delegate District (at Large) (113th - current)",Bachelor's Degree,"117,000",28.1,26.9,29.3
"District of Columbia, Delegate District (at Large) (113th - current)",Graduate Degree,"147,000",35.4,34.4,36.5
"Florida, Congressional District 1 (113th - current)",Not a high school graduate,"31,000",7.7,6.9,8.5
"Florida, Congressional District 1 (113th - current)",High school diploma or GED,"210,000",51.3,49.5,53.2
"Florida, Congressional District 1 (113th - current)",Associate's Degree,"49,000",12.0,11.0,12.9
"Florida, Congressional District 1 (113th - current)",Bachelor's Degree,"78,000",19.1,17.9,20.2
"Florida, Congressional District 1 (113th - current)",Graduate Degree,"41,000",10.0,9.2,10.8
"Florida, Congressional District 2 (113th - current)",Not a high school graduate,"46,000",12.5,11.5,13.6
"Florida, Congressional District 2 (113th - current)",High school diploma or GED,"207,000",55.7,54.0,57.5
"Florida, Congressional District 2 (113th - current)",Associate's Degree,"34,000",9.2,8.4,10.0
"Florida, Congressional District 2 (113th - current)",Bachelor's Degree,"53,000",14.4,13.4,15.3
"Florida, Congressional District 2 (113th - current)",Graduate Degree,"30,000",8.1,7.4,8.8
"Florida, Congressional District 3 (113th - current)",Not a high school graduate,"37,000",9.8,8.8,10.9
"Florida, Congressional District 3 (113th - current)",High school diploma or GED,"185,000",49.0,47.0,51.0
"Florida, Congressional District 3 (113th - current)",Associate's Degree,"46,000",12.1,11.1,13.1
"Florida, Congressional District 3 (113th - current)",Bachelor's Degree,"69,000",18.2,17.0,19.3
"Florida, Congressional District 3 (113th - current)",Graduate Degree,"41,000",10.9,10.0,11.8
"Florida, Congressional District 4 (113th - current)",Not a high school graduate,"27,000",6.2,5.4,7.0
"Florida, Congressional District 4 (113th - current)",High school diploma or GED,"181,000",40.9,39.2,42.7
"Florida, Congressional District 4 (113th - current)",Associate's Degree,"44,000",10.0,9.1,10.9
"Florida, Congressional District 4 (113th - current)",Bachelor's Degree,"120,000",27.2,25.8,28.5
"Florida, Congressional District 4 (113th - current)",Graduate Degree,"69,000",15.7,14.6,16.9
"Florida, Congressional District 5 (113th - current)",Not a high school graduate,"54,000",13.9,12.8,15.0
"Florida, Congressional District 5 (113th - current)",High school diploma or GED,"216,000",56.2,54.5,57.9
"Florida, Congressional District 5 (113th - current)",Associate's Degree,"38,000",10.0,9.1,10.9
"Florida, Congressional District 5 (113th - current)",Bachelor's Degree,"52,000",13.6,12.6,14.6
"Florida, Congressional District 5 (113th - current)",Graduate Degree,"24,000",6.3,5.6,7.0
"Florida, Congressional District 6 (113th - current)",Not a high school graduate,"31,000",8.1,7.3,9.0
"Florida, Congressional District 6 (113th - current)",High school diploma or GED,"213,000",55.6,53.5,57.6
"Florida, Congressional District 6 (113th - current)",Associate's Degree,"51,000",13.4,12.3,14.4
"Florida, Congressional District 6 (113th - current)",Bachelor's Degree,"63,000",16.4,15.2,17.5
"Florida, Congressional District 6 (113th - current)",Graduate Degree,"25,000",6.5,5.8,7.2
"Florida, Congressional District 7 (113th - current)",Not a high school graduate,"26,000",6.1,5.4,6.9
"Florida, Congressional District 7 (113th - current)",High school diploma or GED,"170,000",39.9,38.2,41.6
"Florida, Congressional District 7 (113th - current)",Associate's Degree,"47,000",11.1,10.2,12.0
"Florida, Congressional District 7 (113th - current)",Bachelor's Degree,"118,000",27.6,26.4,28.8
"Florida, Congressional District 7 (113th - current)",Graduate Degree,"65,000",15.2,14.3,16.2
"Florida, Congressional District 8 (113th - current)",Not a high school graduate,"31,000",8.2,7.1,9.3
"Florida, Congressional District 8 (113th - current)",High school diploma or GED,"182,000",47.5,45.5,49.6
"Florida, Congressional District 8 (113th - current)",Associate's Degree,"48,000",12.5,11.4,13.6
"Florida, Congressional District 8 (113th - current)",Bachelor's Degree,"79,000",20.7,19.4,22.0
"Florida, Congressional District 8 (113th - current)",Graduate Degree,"42,000",11.0,10.0,12.0
"Florida, Congressional District 9 (113th - current)",Not a high school graduate,"59,000",12.5,11.4,13.7
"Florida, Congressional District 9 (113th - current)",High school diploma or GED,"232,000",49.0,47.0,50.9
"Florida, Congressional District 9 (113th - current)",Associate's Degree,"57,000",12.1,10.9,13.2
"Florida, Congressional District 9 (113th - current)",Bachelor's Degree,"81,000",17.2,16.0,18.3
"Florida, Congressional District 9 (113th - current)",Graduate Degree,"44,000",9.3,8.3,10.2
"Florida, Congressional District 10 (113th - current)",Not a high school graduate,"46,000",9.8,8.8,10.8
"Florida, Congressional District 10 (113th - current)",High school diploma or GED,"208,000",44.4,42.5,46.3
"Florida, Congressional District 10 (113th - current)",Associate's Degree,"51,000",10.8,9.8,11.8
"Florida, Congressional District 10 (113th - current)",Bachelor's Degree,"114,000",24.3,23.0,25.6
"Florida, Congressional District 10 (113th - current)",Graduate Degree,"50,000",10.7,9.7,11.6
"Florida, Congressional District 11 (113th - current)",Not a high school graduate,"40,000",11.8,10.7,13.0
"Florida, Congressional District 11 (113th - current)",High school diploma or GED,"204,000",59.5,57.5,61.6
"Florida, Congressional District 11 (113th - current)",Associate's Degree,"38,000",11.0,9.9,12.0
"Florida, Congressional District 11 (113th - current)",Bachelor's Degree,"41,000",12.0,11.0,13.0
"Florida, Congressional District 11 (113th - current)",Graduate Degree,"19,000",5.7,5.0,6.4
"Florida, Congressional District 12 (113th - current)",Not a high school graduate,"33,000",8.5,7.7,9.3
"Florida, Congressional District 12 (113th - current)",High school diploma or GED,"192,000",48.8,47.2,50.4
"Florida, Congressional District 12 (113th - current)",Associate's Degree,"45,000",11.4,10.4,12.3
"Florida, Congressional District 12 (113th - current)",Bachelor's Degree,"82,000",21.0,19.8,22.1
"Florida, Congressional District 12 (113th - current)",Graduate Degree,"41,000",10.4,9.6,11.1
"Florida, Congressional District 13 (113th - current)",Not a high school graduate,"32,000",8.1,7.3,9.0
"Florida, Congressional District 13 (113th - current)",High school diploma or GED,"200,000",50.6,49.0,52.2
"Florida, Congressional District 13 (113th - current)",Associate's Degree,"40,000",10.1,9.3,11.0
"Florida, Congressional District 13 (113th - current)",Bachelor's Degree,"83,000",21.0,19.8,22.2
"Florida, Congressional District 13 (113th - current)",Graduate Degree,"40,000",10.1,9.4,10.9
"Florida, Congressional District 14 (113th - current)",Not a high school graduate,"41,000",9.3,8.5,10.2
"Florida, Congressional District 14 (113th - current)",High school diploma or GED,"184,000",42.5,40.9,44.1
"Florida, Congressional District 14 (113th - current)",Associate's Degree,"38,000",8.7,7.9,9.5
"Florida, Congressional District 14 (113th - current)",Bachelor's Degree,"108,000",25.0,23.8,26.1
"Florida, Congressional District 14 (113th - current)",Graduate Degree,"63,000",14.5,13.6,15.4
"Florida, Congressional District 15 (113th - current)",Not a high school graduate,"45,000",10.8,9.8,11.7
"Florida, Congressional District 15 (113th - current)",High school diploma or GED,"221,000",52.4,50.8,54.1
"Florida, Congressional District 15 (113th - current)",Associate's Degree,"44,000",10.3,9.5,11.2
"Florida, Congressional District 15 (113th - current)",Bachelor's Degree,"79,000",18.7,17.7,19.7
"Florida, Congressional District 15 (113th - current)",Graduate Degree,"33,000",7.8,7.1,8.5
"Florida, Congressional District 16 (113th - current)",Not a high school graduate,"41,000",10.2,9.2,11.1
"Florida, Congressional District 16 (113th - current)",High school diploma or GED,"201,000",49.2,47.4,51.1
"Florida, Congressional District 16 (113th - current)",Associate's Degree,"44,000",10.7,9.9,11.6
"Florida, Congressional District 16 (113th - current)",Bachelor's Degree,"78,000",19.2,18.1,20.2
"Florida, Congressional District 16 (113th - current)",Graduate Degree,"44,000",10.7,9.9,11.6
"Florida, Congressional District 17 (113th - current)",Not a high school graduate,"43,000",12.4,11.2,13.5
"Florida, Congressional District 17 (113th - current)",High school diploma or GED,"204,000",59.1,57.2,61.0
"Florida, Congressional District 17 (113th - current)",Associate's Degree,"35,000",10.3,9.3,11.3
"Florida, Congressional District 17 (113th - current)",Bachelor's Degree,"44,000",12.7,11.7,13.7
"Florida, Congressional District 17 (113th - current)",Graduate Degree,"19,000",5.5,4.9,6.2
"Florida, Congressional District 18 (113th - current)",Not a high school graduate,"38,000",9.8,8.5,11.1
"Florida, Congressional District 18 (113th - current)",High school diploma or GED,"176,000",45.5,43.5,47.4
"Florida, Congressional District 18 (113th - current)",Associate's Degree,"47,000",12.0,10.8,13.3
"Florida, Congressional District 18 (113th - current)",Bachelor's Degree,"84,000",21.6,20.3,22.8
"Florida, Congressional District 18 (113th - current)",Graduate Degree,"43,000",11.1,10.1,12.1
"Florida, Congressional District 19 (113th - current)",Not a high school graduate,"40,000",10.6,9.4,11.7
"Florida, Congressional District 19 (113th - current)",High school diploma or GED,"185,000",48.7,46.8,50.6
"Florida, Congressional District 19 (113th - current)",Associate's Degree,"37,000",9.7,8.8,10.6
"Florida, Congressional District 19 (113th - current)",Bachelor's Degree,"78,000",20.5,19.2,21.8
"Florida, Congressional District 19 (113th - current)",Graduate Degree,"40,000",10.5,9.6,11.4
"Florida, Congressional District 20 (113th - current)",Not a high school graduate,"67,000",15.7,14.5,16.9
"Florida, Congressional District 20 (113th - current)",High school diploma or GED,"231,000",53.7,51.7,55.7
"Florida, Congressional District 20 (113th - current)",Associate's Degree,"44,000",10.2,9.3,11.2
"Florida, Congressional District 20 (113th - current)",Bachelor's Degree,"58,000",13.5,12.4,14.5
"Florida, Congressional District 20 (113th - current)",Graduate Degree,"29,000",6.9,6.2,7.6
"Florida, Congressional District 21 (113th - current)",Not a high school graduate,"48,000",12.5,11.3,13.7
"Florida, Congressional District 21 (113th - current)",High school diploma or GED,"166,000",43.4,41.6,45.2
"Florida, Congressional District 21 (113th - current)",Associate's Degree,"38,000",10.0,9.1,10.9
"Florida, Congressional District 21 (113th - current)",Bachelor's Degree,"86,000",22.5,21.3,23.6
"Florida, Congressional District 21 (113th - current)",Graduate Degree,"45,000",11.7,10.8,12.6
"Florida, Congressional District 22 (113th - current)",Not a high school graduate,"30,000",7.4,6.5,8.3
"Florida, Congressional District 22 (113th - current)",High school diploma or GED,"168,000",41.5,39.8,43.3
"Florida, Congressional District 22 (113th - current)",Associate's Degree,"38,000",9.4,8.4,10.3
"Florida, Congressional District 22 (113th - current)",Bachelor's Degree,"107,000",26.5,25.1,27.8
"Florida, Congressional District 22 (113th - current)",Graduate Degree,"62,000",15.2,14.2,16.3
"Florida, Congressional District 23 (113th - current)",Not a high school graduate,"20,000",5.1,4.4,5.8
"Florida, Congressional District 23 (113th - current)",High school diploma or GED,"158,000",39.9,38.1,41.6
"Florida, Congressional District 23 (113th - current)",Associate's Degree,"48,000",12.1,11.1,13.2
"Florida, Congressional District 23 (113th - current)",Bachelor's Degree,"103,000",26.1,24.8,27.3
"Florida, Congressional District 23 (113th - current)",Graduate Degree,"66,000",16.8,15.7,17.9
"Florida, Congressional District 24 (113th - current)",Not a high school graduate,"67,000",15.5,14.3,16.6
"Florida, Congressional District 24 (113th - current)",High school diploma or GED,"216,000",50.2,48.6,51.9
"Florida, Congressional District 24 (113th - current)",Associate's Degree,"46,000",10.6,9.6,11.6
"Florida, Congressional District 24 (113th - current)",Bachelor's Degree,"69,000",16.0,15.0,17.1
"Florida, Congressional District 24 (113th - current)",Graduate Degree,"33,000",7.7,6.9,8.4
"Florida, Congressional District 25 (113th - current)",Not a high school graduate,"79,000",18.9,17.6,20.3
"Florida, Congressional District 25 (113th - current)",High school diploma or GED,"178,000",42.7,40.9,44.5
"Florida, Congressional District 25 (113th - current)",Associate's Degree,"48,000",11.4,10.3,12.5
"Florida, Congressional District 25 (113th - current)",Bachelor's Degree,"75,000",17.9,16.8,19.0
"Florida, Congressional District 25 (113th - current)",Graduate Degree,"38,000",9.1,8.3,9.9
"Florida, Congressional District 26 (113th - current)",Not a high school graduate,"54,000",12.7,11.6,13.7
"Florida, Congressional District 26 (113th - current)",High school diploma or GED,"194,000",45.8,44.2,47.4
"Florida, Congressional District 26 (113th - current)",Associate's Degree,"47,000",11.1,10.2,12.1
"Florida, Congressional District 26 (113th - current)",Bachelor's Degree,"91,000",21.6,20.4,22.8
"Florida, Congressional District 26 (113th - current)",Graduate Degree,"37,000",8.8,8.0,9.6
"Florida, Congressional District 27 (113th - current)",Not a high school graduate,"32,000",7.2,6.4,8.1
"Florida, Congressional District 27 (113th - current)",High school diploma or GED,"163,000",37.6,35.9,39.2
"Florida, Congressional District 27 (113th - current)",Associate's Degree,"37,000",8.5,7.6,9.4
"Florida, Congressional District 27 (113th - current)",Bachelor's Degree,"117,000",26.9,25.7,28.2
"Florida, Congressional District 27 (113th - current)",Graduate Degree,"86,000",19.7,18.6,20.8
"Georgia, Congressional District 1 (113th - current)",Not a high school graduate,"42,000",10.8,9.8,11.8
"Georgia, Congressional District 1 (113th - current)",High school diploma or GED,"211,000",54.8,52.9,56.7
"Georgia, Congressional District 1 (113th - current)",Associate's Degree,"36,000",9.3,8.4,10.2
"Georgia, Congressional District 1 (113th - current)",Bachelor's Degree,"60,000",15.6,14.6,16.5
"Georgia, Congressional District 1 (113th - current)",Graduate Degree,"37,000",9.6,8.7,10.4
"Georgia, Congressional District 2 (113th - current)",Not a high school graduate,"53,000",15.8,14.7,17.0
"Georgia, Congressional District 2 (113th - current)",High school diploma or GED,"190,000",57.3,55.5,59.2
"Georgia, Congressional District 2 (113th - current)",Associate's Degree,"31,000",9.4,8.5,10.3
"Georgia, Congressional District 2 (113th - current)",Bachelor's Degree,"36,000",10.8,9.9,11.7
"Georgia, Congressional District 2 (113th - current)",Graduate Degree,"22,000",6.6,5.9,7.3
"Georgia, Congressional District 3 (113th - current)",Not a high school graduate,"42,000",11.0,10.0,12.0
"Georgia, Congressional District 3 (113th - current)",High school diploma or GED,"198,000",52.2,50.3,54.0
"Georgia, Congressional District 3 (113th - current)",Associate's Degree,"33,000",8.7,7.8,9.6
"Georgia, Congressional District 3 (113th - current)",Bachelor's Degree,"70,000",18.5,17.3,19.7
"Georgia, Congressional District 3 (113th - current)",Graduate Degree,"37,000",9.7,8.9,10.5
"Georgia, Congressional District 4 (113th - current)",Not a high school graduate,"47,000",11.1,10.1,12.1
"Georgia, Congressional District 4 (113th - current)",High school diploma or GED,"193,000",45.6,43.8,47.4
"Georgia, Congressional District 4 (113th - current)",Associate's Degree,"43,000",10.2,9.2,11.2
"Georgia, Congressional District 4 (113th - current)",Bachelor's Degree,"90,000",21.4,20.1,22.7
"Georgia, Congressional District 4 (113th - current)",Graduate Degree,"49,000",11.7,10.7,12.6
"Georgia, Congressional District 5 (113th - current)",Not a high school graduate,"35,000",8.1,7.2,9.0
"Georgia, Congressional District 5 (113th - current)",High school diploma or GED,"172,000",39.2,37.6,40.8
"Georgia, Congressional District 5 (113th - current)",Associate's Degree,"26,000",6.0,5.2,6.7
"Georgia, Congressional District 5 (113th - current)",Bachelor's Degree,"119,000",27.1,25.9,28.4
"Georgia, Congressional District 5 (113th - current)",Graduate Degree,"86,000",19.6,18.6,20.6
"Georgia, Congressional District 6 (113th - current)",Not a high school graduate,"23,000",5.4,4.7,6.0
"Georgia, Congressional District 6 (113th - current)",High school diploma or GED,"100,000",23.5,22.1,24.9
"Georgia, Congressional District 6 (113th - current)",Associate's Degree,"21,000",4.9,4.3,5.6
"Georgia, Congressional District 6 (113th - current)",Bachelor's Degree,"172,000",40.3,39.0,41.7
"Georgia, Congressional District 6 (113th - current)",Graduate Degree,"110,000",25.9,24.8,26.9
"Georgia, Congressional District 7 (113th - current)",Not a high school graduate,"48,000",11.2,10.1,12.3
"Georgia, Congressional District 7 (113th - current)",High school diploma or GED,"153,000",35.3,33.8,36.9
"Georgia, Congressional District 7 (113th - current)",Associate's Degree,"37,000",8.6,7.7,9.5
"Georgia, Congressional District 7 (113th - current)",Bachelor's Degree,"123,000",28.4,27.1,29.6
"Georgia, Congressional District 7 (113th - current)",Graduate Degree,"71,000",16.5,15.5,17.6
"Georgia, Congressional District 8 (113th - current)",Not a high school graduate,"45,000",12.2,11.1,13.4
"Georgia, Congressional District 8 (113th - current)",High school diploma or GED,"196,000",53.6,51.8,55.5
"Georgia, Congressional District 8 (113th - current)",Associate's Degree,"38,000",10.5,9.5,11.5
"Georgia, Congressional District 8 (113th - current)",Bachelor's Degree,"54,000",14.7,13.5,15.9
"Georgia, Congressional District 8 (113th - current)",Graduate Degree,"33,000",8.9,8.1,9.8
"Georgia, Congressional District 9 (113th - current)",Not a high school graduate,"63,000",16.7,15.5,17.9
"Georgia, Congressional District 9 (113th - current)",High school diploma or GED,"194,000",51.1,49.5,52.8
"Georgia, Congressional District 9 (113th - current)",Associate's Degree,"31,000",8.1,7.4,8.7
"Georgia, Congressional District 9 (113th - current)",Bachelor's Degree,"57,000",15.0,14.1,15.9
"Georgia, Congressional District 9 (113th - current)",Graduate Degree,"34,000",9.1,8.3,9.8
