REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2019 ","PERCENT OF PERSONS
AGES 25-64
2019","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2019","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2019"
"California, Congressional District 49 (113th - current)",Graduate Degree,"68,000",17.9,16.8,19.0
"California, Congressional District 50 (113th - current)",Not a high school graduate,"47,000",12.2,11.1,13.3
"California, Congressional District 50 (113th - current)",High school diploma or GED,"187,000",48.1,46.4,49.7
"California, Congressional District 50 (113th - current)",Associate's Degree,"34,000",8.7,7.9,9.4
"California, Congressional District 50 (113th - current)",Bachelor's Degree,"80,000",20.6,19.5,21.8
"California, Congressional District 50 (113th - current)",Graduate Degree,"41,000",10.4,9.6,11.3
"California, Congressional District 51 (113th - current)",Not a high school graduate,"91,000",23.7,22.3,25.1
"California, Congressional District 51 (113th - current)",High school diploma or GED,"201,000",52.2,50.3,54.0
"California, Congressional District 51 (113th - current)",Associate's Degree,"31,000",8.0,7.2,8.8
"California, Congressional District 51 (113th - current)",Bachelor's Degree,"46,000",11.9,10.9,12.8
"California, Congressional District 51 (113th - current)",Graduate Degree,"17,000",4.3,3.7,4.9
"California, Congressional District 52 (113th - current)",Not a high school graduate,"17,000",3.9,3.3,4.6
"California, Congressional District 52 (113th - current)",High school diploma or GED,"113,000",26.5,25.2,27.9
"California, Congressional District 52 (113th - current)",Associate's Degree,"26,000",6.1,5.4,6.8
"California, Congressional District 52 (113th - current)",Bachelor's Degree,"160,000",37.3,35.9,38.8
"California, Congressional District 52 (113th - current)",Graduate Degree,"112,000",26.1,24.9,27.3
"California, Congressional District 53 (113th - current)",Not a high school graduate,"34,000",7.7,6.8,8.6
"California, Congressional District 53 (113th - current)",High school diploma or GED,"180,000",40.3,38.7,42.0
"California, Congressional District 53 (113th - current)",Associate's Degree,"47,000",10.5,9.6,11.4
"California, Congressional District 53 (113th - current)",Bachelor's Degree,"122,000",27.5,26.2,28.7
"California, Congressional District 53 (113th - current)",Graduate Degree,"62,000",14.0,13.0,15.0
"Colorado, Congressional District 1 (113th - current)",Not a high school graduate,"38,000",7.4,6.6,8.2
"Colorado, Congressional District 1 (113th - current)",High school diploma or GED,"170,000",33.1,31.7,34.6
"Colorado, Congressional District 1 (113th - current)",Associate's Degree,"28,000",5.5,4.9,6.1
"Colorado, Congressional District 1 (113th - current)",Bachelor's Degree,"178,000",34.7,33.6,35.8
"Colorado, Congressional District 1 (113th - current)",Graduate Degree,"99,000",19.3,18.4,20.2
"Colorado, Congressional District 2 (113th - current)",Not a high school graduate,"16,000",3.7,3.0,4.4
"Colorado, Congressional District 2 (113th - current)",High school diploma or GED,"131,000",30.1,28.7,31.4
"Colorado, Congressional District 2 (113th - current)",Associate's Degree,"36,000",8.2,7.5,8.9
"Colorado, Congressional District 2 (113th - current)",Bachelor's Degree,"154,000",35.4,34.2,36.7
"Colorado, Congressional District 2 (113th - current)",Graduate Degree,"98,000",22.6,21.5,23.6
"Colorado, Congressional District 3 (113th - current)",Not a high school graduate,"34,000",8.7,7.8,9.7
"Colorado, Congressional District 3 (113th - current)",High school diploma or GED,"191,000",49.4,47.7,51.2
"Colorado, Congressional District 3 (113th - current)",Associate's Degree,"36,000",9.2,8.4,10.1
"Colorado, Congressional District 3 (113th - current)",Bachelor's Degree,"90,000",23.2,22.1,24.4
"Colorado, Congressional District 3 (113th - current)",Graduate Degree,"36,000",9.4,8.6,10.1
"Colorado, Congressional District 4 (113th - current)",Not a high school graduate,"41,000",8.9,8.1,9.8
"Colorado, Congressional District 4 (113th - current)",High school diploma or GED,"197,000",42.8,41.5,44.2
"Colorado, Congressional District 4 (113th - current)",Associate's Degree,"45,000",9.8,9.1,10.5
"Colorado, Congressional District 4 (113th - current)",Bachelor's Degree,"112,000",24.4,23.5,25.4
"Colorado, Congressional District 4 (113th - current)",Graduate Degree,"65,000",14.0,13.3,14.8
"Colorado, Congressional District 5 (113th - current)",Not a high school graduate,"21,000",5.0,4.3,5.6
"Colorado, Congressional District 5 (113th - current)",High school diploma or GED,"196,000",45.3,43.7,46.9
"Colorado, Congressional District 5 (113th - current)",Associate's Degree,"52,000",12.1,11.2,13.0
"Colorado, Congressional District 5 (113th - current)",Bachelor's Degree,"107,000",24.8,23.6,25.9
"Colorado, Congressional District 5 (113th - current)",Graduate Degree,"56,000",12.9,12.1,13.8
"Colorado, Congressional District 6 (113th - current)",Not a high school graduate,"35,000",7.7,6.9,8.5
"Colorado, Congressional District 6 (113th - current)",High school diploma or GED,"177,000",39.1,37.6,40.5
"Colorado, Congressional District 6 (113th - current)",Associate's Degree,"42,000",9.2,8.4,10.0
"Colorado, Congressional District 6 (113th - current)",Bachelor's Degree,"127,000",28.0,26.9,29.2
"Colorado, Congressional District 6 (113th - current)",Graduate Degree,"73,000",16.0,15.2,16.8
"Colorado, Congressional District 7 (113th - current)",Not a high school graduate,"47,000",10.6,9.6,11.5
"Colorado, Congressional District 7 (113th - current)",High school diploma or GED,"196,000",43.7,42.1,45.3
"Colorado, Congressional District 7 (113th - current)",Associate's Degree,"36,000",8.0,7.3,8.7
"Colorado, Congressional District 7 (113th - current)",Bachelor's Degree,"115,000",25.6,24.6,26.6
"Colorado, Congressional District 7 (113th - current)",Graduate Degree,"54,000",12.1,11.4,12.8
"Connecticut, Congressional District 1 (113th - current)",Not a high school graduate,"28,000",7.4,6.7,8.2
"Connecticut, Congressional District 1 (113th - current)",High school diploma or GED,"159,000",42.7,41.1,44.4
"Connecticut, Congressional District 1 (113th - current)",Associate's Degree,"33,000",8.9,8.0,9.8
"Connecticut, Congressional District 1 (113th - current)",Bachelor's Degree,"84,000",22.5,21.4,23.7
"Connecticut, Congressional District 1 (113th - current)",Graduate Degree,"69,000",18.4,17.4,19.4
"Connecticut, Congressional District 2 (113th - current)",Not a high school graduate,"22,000",6.2,5.4,6.9
"Connecticut, Congressional District 2 (113th - current)",High school diploma or GED,"177,000",48.8,47.1,50.5
"Connecticut, Congressional District 2 (113th - current)",Associate's Degree,"31,000",8.6,7.9,9.3
"Connecticut, Congressional District 2 (113th - current)",Bachelor's Degree,"78,000",21.4,20.2,22.5
"Connecticut, Congressional District 2 (113th - current)",Graduate Degree,"55,000",15.0,14.2,15.9
"Connecticut, Congressional District 3 (113th - current)",Not a high school graduate,"31,000",8.0,7.1,9.0
"Connecticut, Congressional District 3 (113th - current)",High school diploma or GED,"182,000",47.6,45.8,49.3
"Connecticut, Congressional District 3 (113th - current)",Associate's Degree,"26,000",6.9,6.2,7.5
"Connecticut, Congressional District 3 (113th - current)",Bachelor's Degree,"79,000",20.7,19.5,21.9
"Connecticut, Congressional District 3 (113th - current)",Graduate Degree,"64,000",16.8,15.8,17.8
"Connecticut, Congressional District 4 (113th - current)",Not a high school graduate,"32,000",8.2,7.3,9.1
"Connecticut, Congressional District 4 (113th - current)",High school diploma or GED,"115,000",30.0,28.6,31.4
"Connecticut, Congressional District 4 (113th - current)",Associate's Degree,"24,000",6.4,5.6,7.1
"Connecticut, Congressional District 4 (113th - current)",Bachelor's Degree,"122,000",31.8,30.6,33.0
"Connecticut, Congressional District 4 (113th - current)",Graduate Degree,"90,000",23.6,22.6,24.7
"Connecticut, Congressional District 5 (113th - current)",Not a high school graduate,"36,000",9.9,8.9,10.9
"Connecticut, Congressional District 5 (113th - current)",High school diploma or GED,"161,000",43.8,42.2,45.5
"Connecticut, Congressional District 5 (113th - current)",Associate's Degree,"31,000",8.4,7.6,9.2
"Connecticut, Congressional District 5 (113th - current)",Bachelor's Degree,"83,000",22.6,21.4,23.7
"Connecticut, Congressional District 5 (113th - current)",Graduate Degree,"56,000",15.3,14.3,16.3
"Delaware, Congressional District (at Large) (113th - current)",Not a high school graduate,"47,000",9.4,8.7,10.2
"Delaware, Congressional District (at Large) (113th - current)",High school diploma or GED,"236,000",47.3,45.8,48.9
"Delaware, Congressional District (at Large) (113th - current)",Associate's Degree,"43,000",8.7,7.9,9.5
"Delaware, Congressional District (at Large) (113th - current)",Bachelor's Degree,"105,000",21.0,20.0,22.0
"Delaware, Congressional District (at Large) (113th - current)",Graduate Degree,"67,000",13.5,12.7,14.3
"District of Columbia, Delegate District (at Large) (113th - current)",Not a high school graduate,"29,000",6.9,6.1,7.8
"District of Columbia, Delegate District (at Large) (113th - current)",High school diploma or GED,"112,000",26.9,25.5,28.4
"District of Columbia, Delegate District (at Large) (113th - current)",Associate's Degree,"15,000",3.5,2.9,4.1
"District of Columbia, Delegate District (at Large) (113th - current)",Bachelor's Degree,"116,000",27.7,26.6,28.8
"District of Columbia, Delegate District (at Large) (113th - current)",Graduate Degree,"146,000",34.9,33.8,36.1
"Florida, Congressional District 1 (113th - current)",Not a high school graduate,"36,000",8.7,7.8,9.6
"Florida, Congressional District 1 (113th - current)",High school diploma or GED,"223,000",53.6,51.7,55.5
"Florida, Congressional District 1 (113th - current)",Associate's Degree,"46,000",11.2,10.2,12.1
"Florida, Congressional District 1 (113th - current)",Bachelor's Degree,"76,000",18.2,17.0,19.3
"Florida, Congressional District 1 (113th - current)",Graduate Degree,"35,000",8.4,7.7,9.2
"Florida, Congressional District 2 (113th - current)",Not a high school graduate,"45,000",12.4,11.4,13.3
"Florida, Congressional District 2 (113th - current)",High school diploma or GED,"193,000",53.4,51.5,55.3
"Florida, Congressional District 2 (113th - current)",Associate's Degree,"36,000",9.9,9.0,10.9
"Florida, Congressional District 2 (113th - current)",Bachelor's Degree,"53,000",14.8,13.7,15.9
"Florida, Congressional District 2 (113th - current)",Graduate Degree,"34,000",9.5,8.7,10.4
"Florida, Congressional District 3 (113th - current)",Not a high school graduate,"33,000",8.6,7.7,9.4
"Florida, Congressional District 3 (113th - current)",High school diploma or GED,"186,000",48.8,46.9,50.6
"Florida, Congressional District 3 (113th - current)",Associate's Degree,"46,000",12.0,11.0,12.9
"Florida, Congressional District 3 (113th - current)",Bachelor's Degree,"70,000",18.4,17.1,19.6
"Florida, Congressional District 3 (113th - current)",Graduate Degree,"47,000",12.3,11.4,13.2
"Florida, Congressional District 4 (113th - current)",Not a high school graduate,"28,000",6.2,5.4,7.1
"Florida, Congressional District 4 (113th - current)",High school diploma or GED,"182,000",40.7,39.1,42.4
"Florida, Congressional District 4 (113th - current)",Associate's Degree,"46,000",10.4,9.3,11.4
"Florida, Congressional District 4 (113th - current)",Bachelor's Degree,"128,000",28.6,27.1,30.0
"Florida, Congressional District 4 (113th - current)",Graduate Degree,"63,000",14.1,13.1,15.2
"Florida, Congressional District 5 (113th - current)",Not a high school graduate,"53,000",13.7,12.6,14.8
"Florida, Congressional District 5 (113th - current)",High school diploma or GED,"221,000",56.9,55.1,58.7
"Florida, Congressional District 5 (113th - current)",Associate's Degree,"36,000",9.2,8.3,10.0
"Florida, Congressional District 5 (113th - current)",Bachelor's Degree,"51,000",13.2,12.2,14.3
"Florida, Congressional District 5 (113th - current)",Graduate Degree,"27,000",7.0,6.3,7.7
"Florida, Congressional District 6 (113th - current)",Not a high school graduate,"32,000",8.2,7.2,9.1
"Florida, Congressional District 6 (113th - current)",High school diploma or GED,"215,000",55.5,53.4,57.7
"Florida, Congressional District 6 (113th - current)",Associate's Degree,"48,000",12.5,11.4,13.5
"Florida, Congressional District 6 (113th - current)",Bachelor's Degree,"61,000",15.7,14.6,16.7
"Florida, Congressional District 6 (113th - current)",Graduate Degree,"32,000",8.2,7.4,9.0
"Florida, Congressional District 7 (113th - current)",Not a high school graduate,"28,000",6.3,5.5,7.0
"Florida, Congressional District 7 (113th - current)",High school diploma or GED,"170,000",38.3,36.3,40.2
"Florida, Congressional District 7 (113th - current)",Associate's Degree,"55,000",12.4,11.3,13.5
"Florida, Congressional District 7 (113th - current)",Bachelor's Degree,"128,000",28.8,27.5,30.1
"Florida, Congressional District 7 (113th - current)",Graduate Degree,"63,000",14.2,13.3,15.2
"Florida, Congressional District 8 (113th - current)",Not a high school graduate,"28,000",7.4,6.3,8.5
"Florida, Congressional District 8 (113th - current)",High school diploma or GED,"186,000",48.4,46.3,50.6
"Florida, Congressional District 8 (113th - current)",Associate's Degree,"52,000",13.6,12.4,14.7
"Florida, Congressional District 8 (113th - current)",Bachelor's Degree,"79,000",20.6,19.3,21.9
"Florida, Congressional District 8 (113th - current)",Graduate Degree,"38,000",10.0,9.1,10.8
"Florida, Congressional District 9 (113th - current)",Not a high school graduate,"52,000",10.9,9.8,12.1
"Florida, Congressional District 9 (113th - current)",High school diploma or GED,"238,000",49.9,47.9,51.9
"Florida, Congressional District 9 (113th - current)",Associate's Degree,"60,000",12.6,11.4,13.9
"Florida, Congressional District 9 (113th - current)",Bachelor's Degree,"86,000",17.9,16.5,19.3
"Florida, Congressional District 9 (113th - current)",Graduate Degree,"41,000",8.6,7.7,9.5
"Florida, Congressional District 10 (113th - current)",Not a high school graduate,"59,000",12.9,11.6,14.2
"Florida, Congressional District 10 (113th - current)",High school diploma or GED,"201,000",43.8,41.9,45.7
"Florida, Congressional District 10 (113th - current)",Associate's Degree,"44,000",9.6,8.6,10.5
"Florida, Congressional District 10 (113th - current)",Bachelor's Degree,"102,000",22.2,20.8,23.5
"Florida, Congressional District 10 (113th - current)",Graduate Degree,"53,000",11.6,10.5,12.6
"Florida, Congressional District 11 (113th - current)",Not a high school graduate,"35,000",10.4,9.1,11.6
"Florida, Congressional District 11 (113th - current)",High school diploma or GED,"194,000",57.8,55.8,59.9
"Florida, Congressional District 11 (113th - current)",Associate's Degree,"39,000",11.6,10.4,12.8
"Florida, Congressional District 11 (113th - current)",Bachelor's Degree,"44,000",13.0,11.8,14.3
"Florida, Congressional District 11 (113th - current)",Graduate Degree,"24,000",7.1,6.3,7.9
"Florida, Congressional District 12 (113th - current)",Not a high school graduate,"31,000",7.7,6.9,8.5
"Florida, Congressional District 12 (113th - current)",High school diploma or GED,"198,000",49.3,47.5,51.1
"Florida, Congressional District 12 (113th - current)",Associate's Degree,"47,000",11.8,10.8,12.8
"Florida, Congressional District 12 (113th - current)",Bachelor's Degree,"85,000",21.1,19.9,22.2
"Florida, Congressional District 12 (113th - current)",Graduate Degree,"41,000",10.2,9.3,11.1
"Florida, Congressional District 13 (113th - current)",Not a high school graduate,"34,000",8.9,7.9,9.8
"Florida, Congressional District 13 (113th - current)",High school diploma or GED,"176,000",45.2,43.4,47.1
"Florida, Congressional District 13 (113th - current)",Associate's Degree,"43,000",11.1,10.2,12.1
"Florida, Congressional District 13 (113th - current)",Bachelor's Degree,"91,000",23.4,22.2,24.5
"Florida, Congressional District 13 (113th - current)",Graduate Degree,"44,000",11.4,10.5,12.3
"Florida, Congressional District 14 (113th - current)",Not a high school graduate,"44,000",9.6,8.7,10.5
"Florida, Congressional District 14 (113th - current)",High school diploma or GED,"187,000",40.9,39.3,42.5
"Florida, Congressional District 14 (113th - current)",Associate's Degree,"42,000",9.1,8.2,10.0
"Florida, Congressional District 14 (113th - current)",Bachelor's Degree,"114,000",25.0,23.8,26.2
"Florida, Congressional District 14 (113th - current)",Graduate Degree,"71,000",15.5,14.5,16.5
"Florida, Congressional District 15 (113th - current)",Not a high school graduate,"50,000",11.6,10.6,12.6
"Florida, Congressional District 15 (113th - current)",High school diploma or GED,"216,000",50.2,48.5,52.0
"Florida, Congressional District 15 (113th - current)",Associate's Degree,"50,000",11.6,10.6,12.5
"Florida, Congressional District 15 (113th - current)",Bachelor's Degree,"80,000",18.6,17.5,19.8
"Florida, Congressional District 15 (113th - current)",Graduate Degree,"34,000",7.9,7.1,8.7
"Florida, Congressional District 16 (113th - current)",Not a high school graduate,"38,000",9.2,8.1,10.3
"Florida, Congressional District 16 (113th - current)",High school diploma or GED,"201,000",48.3,46.4,50.2
"Florida, Congressional District 16 (113th - current)",Associate's Degree,"48,000",11.4,10.4,12.4
"Florida, Congressional District 16 (113th - current)",Bachelor's Degree,"85,000",20.4,19.2,21.6
"Florida, Congressional District 16 (113th - current)",Graduate Degree,"44,000",10.7,9.8,11.5
"Florida, Congressional District 17 (113th - current)",Not a high school graduate,"46,000",13.0,11.8,14.3
"Florida, Congressional District 17 (113th - current)",High school diploma or GED,"200,000",56.8,54.7,58.8
"Florida, Congressional District 17 (113th - current)",Associate's Degree,"37,000",10.4,9.3,11.5
"Florida, Congressional District 17 (113th - current)",Bachelor's Degree,"49,000",14.0,12.9,15.1
"Florida, Congressional District 17 (113th - current)",Graduate Degree,"20,000",5.8,5.1,6.5
"Florida, Congressional District 18 (113th - current)",Not a high school graduate,"34,000",8.8,7.8,9.9
"Florida, Congressional District 18 (113th - current)",High school diploma or GED,"183,000",47.5,45.4,49.6
"Florida, Congressional District 18 (113th - current)",Associate's Degree,"44,000",11.3,10.3,12.4
"Florida, Congressional District 18 (113th - current)",Bachelor's Degree,"80,000",20.8,19.5,22.2
"Florida, Congressional District 18 (113th - current)",Graduate Degree,"44,000",11.5,10.5,12.6
"Florida, Congressional District 19 (113th - current)",Not a high school graduate,"42,000",11.3,10.0,12.7
"Florida, Congressional District 19 (113th - current)",High school diploma or GED,"180,000",48.1,46.1,50.1
"Florida, Congressional District 19 (113th - current)",Associate's Degree,"37,000",10.0,9.0,11.1
"Florida, Congressional District 19 (113th - current)",Bachelor's Degree,"78,000",20.9,19.7,22.2
"Florida, Congressional District 19 (113th - current)",Graduate Degree,"36,000",9.6,8.8,10.4
"Florida, Congressional District 20 (113th - current)",Not a high school graduate,"65,000",15.3,14.0,16.6
"Florida, Congressional District 20 (113th - current)",High school diploma or GED,"225,000",52.6,50.7,54.6
"Florida, Congressional District 20 (113th - current)",Associate's Degree,"44,000",10.2,9.2,11.2
"Florida, Congressional District 20 (113th - current)",Bachelor's Degree,"64,000",14.9,13.7,16.1
"Florida, Congressional District 20 (113th - current)",Graduate Degree,"30,000",6.9,6.1,7.7
"Florida, Congressional District 21 (113th - current)",Not a high school graduate,"46,000",12.0,10.9,13.0
"Florida, Congressional District 21 (113th - current)",High school diploma or GED,"156,000",40.9,39.0,42.7
"Florida, Congressional District 21 (113th - current)",Associate's Degree,"40,000",10.6,9.6,11.5
"Florida, Congressional District 21 (113th - current)",Bachelor's Degree,"87,000",22.8,21.5,24.1
"Florida, Congressional District 21 (113th - current)",Graduate Degree,"53,000",13.8,12.9,14.7
"Florida, Congressional District 22 (113th - current)",Not a high school graduate,"28,000",7.0,6.0,8.0
"Florida, Congressional District 22 (113th - current)",High school diploma or GED,"167,000",41.3,39.5,43.2
"Florida, Congressional District 22 (113th - current)",Associate's Degree,"38,000",9.5,8.6,10.3
"Florida, Congressional District 22 (113th - current)",Bachelor's Degree,"109,000",27.0,25.6,28.4
"Florida, Congressional District 22 (113th - current)",Graduate Degree,"62,000",15.2,14.2,16.3
"Florida, Congressional District 23 (113th - current)",Not a high school graduate,"24,000",6.0,5.2,6.8
"Florida, Congressional District 23 (113th - current)",High school diploma or GED,"158,000",38.6,36.8,40.5
"Florida, Congressional District 23 (113th - current)",Associate's Degree,"50,000",12.3,11.2,13.4
"Florida, Congressional District 23 (113th - current)",Bachelor's Degree,"113,000",27.7,26.2,29.1
"Florida, Congressional District 23 (113th - current)",Graduate Degree,"63,000",15.5,14.4,16.5
"Florida, Congressional District 24 (113th - current)",Not a high school graduate,"68,000",16.5,15.2,17.7
"Florida, Congressional District 24 (113th - current)",High school diploma or GED,"215,000",52.0,50.1,53.9
"Florida, Congressional District 24 (113th - current)",Associate's Degree,"41,000",10.0,9.0,11.0
"Florida, Congressional District 24 (113th - current)",Bachelor's Degree,"57,000",13.8,12.8,14.7
"Florida, Congressional District 24 (113th - current)",Graduate Degree,"32,000",7.8,7.0,8.6
"Florida, Congressional District 25 (113th - current)",Not a high school graduate,"81,000",19.3,18.0,20.6
"Florida, Congressional District 25 (113th - current)",High school diploma or GED,"177,000",42.0,40.0,44.1
"Florida, Congressional District 25 (113th - current)",Associate's Degree,"44,000",10.4,9.4,11.4
"Florida, Congressional District 25 (113th - current)",Bachelor's Degree,"76,000",18.0,16.8,19.2
"Florida, Congressional District 25 (113th - current)",Graduate Degree,"43,000",10.2,9.3,11.1
"Florida, Congressional District 26 (113th - current)",Not a high school graduate,"59,000",14.0,12.9,15.1
"Florida, Congressional District 26 (113th - current)",High school diploma or GED,"187,000",44.5,42.8,46.2
"Florida, Congressional District 26 (113th - current)",Associate's Degree,"46,000",10.9,10.0,11.9
"Florida, Congressional District 26 (113th - current)",Bachelor's Degree,"90,000",21.4,20.1,22.7
"Florida, Congressional District 26 (113th - current)",Graduate Degree,"39,000",9.2,8.3,10.1
"Florida, Congressional District 27 (113th - current)",Not a high school graduate,"45,000",10.7,9.6,11.8
"Florida, Congressional District 27 (113th - current)",High school diploma or GED,"147,000",35.1,33.4,36.8
"Florida, Congressional District 27 (113th - current)",Associate's Degree,"38,000",9.0,8.1,10.0
"Florida, Congressional District 27 (113th - current)",Bachelor's Degree,"112,000",26.9,25.4,28.4
"Florida, Congressional District 27 (113th - current)",Graduate Degree,"76,000",18.3,17.2,19.4
"Georgia, Congressional District 1 (113th - current)",Not a high school graduate,"42,000",11.1,10.0,12.2
"Georgia, Congressional District 1 (113th - current)",High school diploma or GED,"205,000",53.7,51.7,55.8
"Georgia, Congressional District 1 (113th - current)",Associate's Degree,"32,000",8.4,7.5,9.4
"Georgia, Congressional District 1 (113th - current)",Bachelor's Degree,"67,000",17.5,16.2,18.9
"Georgia, Congressional District 1 (113th - current)",Graduate Degree,"35,000",9.2,8.3,10.1
"Georgia, Congressional District 2 (113th - current)",Not a high school graduate,"43,000",12.9,11.8,14.0
"Georgia, Congressional District 2 (113th - current)",High school diploma or GED,"198,000",58.7,56.7,60.8
"Georgia, Congressional District 2 (113th - current)",Associate's Degree,"33,000",9.7,8.8,10.7
"Georgia, Congressional District 2 (113th - current)",Bachelor's Degree,"36,000",10.7,9.7,11.7
"Georgia, Congressional District 2 (113th - current)",Graduate Degree,"27,000",7.9,7.0,8.8
"Georgia, Congressional District 3 (113th - current)",Not a high school graduate,"40,000",10.4,9.3,11.5
"Georgia, Congressional District 3 (113th - current)",High school diploma or GED,"207,000",53.4,51.6,55.2
"Georgia, Congressional District 3 (113th - current)",Associate's Degree,"35,000",9.0,8.0,9.9
"Georgia, Congressional District 3 (113th - current)",Bachelor's Degree,"68,000",17.7,16.6,18.8
"Georgia, Congressional District 3 (113th - current)",Graduate Degree,"37,000",9.6,8.7,10.5
"Georgia, Congressional District 4 (113th - current)",Not a high school graduate,"48,000",11.4,10.3,12.5
"Georgia, Congressional District 4 (113th - current)",High school diploma or GED,"199,000",47.1,45.0,49.1
"Georgia, Congressional District 4 (113th - current)",Associate's Degree,"42,000",9.9,8.8,11.0
"Georgia, Congressional District 4 (113th - current)",Bachelor's Degree,"83,000",19.8,18.4,21.1
"Georgia, Congressional District 4 (113th - current)",Graduate Degree,"50,000",11.9,10.9,12.9
"Georgia, Congressional District 5 (113th - current)",Not a high school graduate,"36,000",8.2,7.3,9.2
"Georgia, Congressional District 5 (113th - current)",High school diploma or GED,"155,000",35.1,33.5,36.8
"Georgia, Congressional District 5 (113th - current)",Associate's Degree,"30,000",6.8,5.8,7.7
"Georgia, Congressional District 5 (113th - current)",Bachelor's Degree,"127,000",28.9,27.5,30.2
"Georgia, Congressional District 5 (113th - current)",Graduate Degree,"93,000",21.0,19.8,22.1
"Georgia, Congressional District 6 (113th - current)",Not a high school graduate,"23,000",5.5,4.8,6.2
"Georgia, Congressional District 6 (113th - current)",High school diploma or GED,"93,000",22.3,20.9,23.7
"Georgia, Congressional District 6 (113th - current)",Associate's Degree,"20,000",4.7,4.1,5.4
"Georgia, Congressional District 6 (113th - current)",Bachelor's Degree,"166,000",39.7,38.3,41.2
"Georgia, Congressional District 6 (113th - current)",Graduate Degree,"116,000",27.7,26.3,29.2
"Georgia, Congressional District 7 (113th - current)",Not a high school graduate,"49,000",10.7,9.7,11.8
"Georgia, Congressional District 7 (113th - current)",High school diploma or GED,"152,000",33.6,32.0,35.3
"Georgia, Congressional District 7 (113th - current)",Associate's Degree,"40,000",8.7,7.8,9.6
"Georgia, Congressional District 7 (113th - current)",Bachelor's Degree,"141,000",31.1,29.7,32.4
"Georgia, Congressional District 7 (113th - current)",Graduate Degree,"72,000",15.9,14.8,16.9
"Georgia, Congressional District 8 (113th - current)",Not a high school graduate,"44,000",12.4,11.3,13.4
"Georgia, Congressional District 8 (113th - current)",High school diploma or GED,"185,000",52.3,50.3,54.3
"Georgia, Congressional District 8 (113th - current)",Associate's Degree,"41,000",11.5,10.4,12.6
"Georgia, Congressional District 8 (113th - current)",Bachelor's Degree,"51,000",14.4,13.3,15.6
"Georgia, Congressional District 8 (113th - current)",Graduate Degree,"33,000",9.4,8.5,10.3
"Georgia, Congressional District 9 (113th - current)",Not a high school graduate,"62,000",16.1,14.9,17.3
"Georgia, Congressional District 9 (113th - current)",High school diploma or GED,"199,000",52.0,50.2,53.8
"Georgia, Congressional District 9 (113th - current)",Associate's Degree,"32,000",8.3,7.5,9.1
"Georgia, Congressional District 9 (113th - current)",Bachelor's Degree,"59,000",15.4,14.4,16.4
"Georgia, Congressional District 9 (113th - current)",Graduate Degree,"31,000",8.2,7.5,9.0
"Georgia, Congressional District 10 (113th - current)",Not a high school graduate,"40,000",10.7,9.6,11.7
"Georgia, Congressional District 10 (113th - current)",High school diploma or GED,"188,000",49.5,47.6,51.4
"Georgia, Congressional District 10 (113th - current)",Associate's Degree,"33,000",8.8,7.8,9.8
"Georgia, Congressional District 10 (113th - current)",Bachelor's Degree,"71,000",18.7,17.6,19.8
"Georgia, Congressional District 10 (113th - current)",Graduate Degree,"47,000",12.4,11.3,13.4
"Georgia, Congressional District 11 (113th - current)",Not a high school graduate,"38,000",8.9,7.9,9.9
"Georgia, Congressional District 11 (113th - current)",High school diploma or GED,"166,000",38.7,36.9,40.5
"Georgia, Congressional District 11 (113th - current)",Associate's Degree,"30,000",7.1,6.3,7.8
"Georgia, Congressional District 11 (113th - current)",Bachelor's Degree,"127,000",29.5,28.2,30.8
"Georgia, Congressional District 11 (113th - current)",Graduate Degree,"68,000",15.8,14.7,17.0
"Georgia, Congressional District 12 (113th - current)",Not a high school graduate,"48,000",13.1,12.0,14.2
"Georgia, Congressional District 12 (113th - current)",High school diploma or GED,"202,000",55.0,53.1,56.8
"Georgia, Congressional District 12 (113th - current)",Associate's Degree,"33,000",9.0,8.0,9.9
"Georgia, Congressional District 12 (113th - current)",Bachelor's Degree,"54,000",14.8,13.6,16.0
"Georgia, Congressional District 12 (113th - current)",Graduate Degree,"30,000",8.2,7.3,9.2
"Georgia, Congressional District 13 (113th - current)",Not a high school graduate,"39,000",9.1,8.2,10.1
"Georgia, Congressional District 13 (113th - current)",High school diploma or GED,"214,000",50.2,47.9,52.4
"Georgia, Congressional District 13 (113th - current)",Associate's Degree,"40,000",9.3,8.2,10.4
"Georgia, Congressional District 13 (113th - current)",Bachelor's Degree,"93,000",21.7,20.2,23.3
"Georgia, Congressional District 13 (113th - current)",Graduate Degree,"41,000",9.6,8.7,10.6
"Georgia, Congressional District 14 (113th - current)",Not a high school graduate,"66,000",17.5,16.1,18.8
"Georgia, Congressional District 14 (113th - current)",High school diploma or GED,"213,000",56.4,54.4,58.4
"Georgia, Congressional District 14 (113th - current)",Associate's Degree,"29,000",7.7,6.8,8.6
"Georgia, Congressional District 14 (113th - current)",Bachelor's Degree,"42,000",11.2,10.2,12.1
"Georgia, Congressional District 14 (113th - current)",Graduate Degree,"28,000",7.3,6.4,8.1
"Hawaii, Congressional District 1 (113th - current)",Not a high school graduate,"21,000",5.6,4.9,6.2
"Hawaii, Congressional District 1 (113th - current)",High school diploma or GED,"162,000",42.9,41.2,44.5
"Hawaii, Congressional District 1 (113th - current)",Associate's Degree,"47,000",12.5,11.5,13.4
