REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2017 ","PERCENT OF PERSONS
AGES 25-64
2017","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2017","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2017"
"California, Congressional District 41 (113th - current)",Associate's Degree,"29,000",7.4,6.6,8.2
"California, Congressional District 41 (113th - current)",Bachelor's Degree,"43,000",10.9,9.9,11.9
"California, Congressional District 41 (113th - current)",Graduate Degree,"26,000",6.5,5.9,7.1
"California, Congressional District 42 (113th - current)",Not a high school graduate,"48,000",11.5,10.6,12.4
"California, Congressional District 42 (113th - current)",High school diploma or GED,"213,000",50.7,49.1,52.4
"California, Congressional District 42 (113th - current)",Associate's Degree,"44,000",10.6,9.7,11.5
"California, Congressional District 42 (113th - current)",Bachelor's Degree,"78,000",18.6,17.5,19.6
"California, Congressional District 42 (113th - current)",Graduate Degree,"36,000",8.6,7.9,9.4
"California, Congressional District 43 (113th - current)",Not a high school graduate,"86,000",21.2,20.0,22.4
"California, Congressional District 43 (113th - current)",High school diploma or GED,"175,000",43.3,42.0,44.6
"California, Congressional District 43 (113th - current)",Associate's Degree,"29,000",7.1,6.4,7.9
"California, Congressional District 43 (113th - current)",Bachelor's Degree,"80,000",19.7,18.6,20.9
"California, Congressional District 43 (113th - current)",Graduate Degree,"35,000",8.6,7.9,9.4
"California, Congressional District 44 (113th - current)",Not a high school graduate,"122,000",33.2,31.9,34.5
"California, Congressional District 44 (113th - current)",High school diploma or GED,"174,000",47.2,45.7,48.7
"California, Congressional District 44 (113th - current)",Associate's Degree,"24,000",6.5,5.9,7.2
"California, Congressional District 44 (113th - current)",Bachelor's Degree,"39,000",10.5,9.6,11.3
"California, Congressional District 44 (113th - current)",Graduate Degree,"10,000",2.6,2.3,3.0
"California, Congressional District 45 (113th - current)",Not a high school graduate,"24,000",5.7,5.0,6.4
"California, Congressional District 45 (113th - current)",High school diploma or GED,"125,000",29.1,27.8,30.5
"California, Congressional District 45 (113th - current)",Associate's Degree,"34,000",7.8,7.1,8.6
"California, Congressional District 45 (113th - current)",Bachelor's Degree,"154,000",35.9,34.5,37.2
"California, Congressional District 45 (113th - current)",Graduate Degree,"92,000",21.5,20.4,22.6
"California, Congressional District 46 (113th - current)",Not a high school graduate,"126,000",31.8,30.4,33.2
"California, Congressional District 46 (113th - current)",High school diploma or GED,"169,000",42.6,41.1,44.1
"California, Congressional District 46 (113th - current)",Associate's Degree,"25,000",6.3,5.7,7.0
"California, Congressional District 46 (113th - current)",Bachelor's Degree,"59,000",14.9,13.9,15.8
"California, Congressional District 46 (113th - current)",Graduate Degree,"18,000",4.4,3.9,5.0
"California, Congressional District 47 (113th - current)",Not a high school graduate,"69,000",17.3,16.3,18.2
"California, Congressional District 47 (113th - current)",High school diploma or GED,"163,000",40.8,39.5,42.1
"California, Congressional District 47 (113th - current)",Associate's Degree,"32,000",8.0,7.3,8.7
"California, Congressional District 47 (113th - current)",Bachelor's Degree,"92,000",23.0,22.0,24.0
"California, Congressional District 47 (113th - current)",Graduate Degree,"44,000",10.9,10.2,11.7
"California, Congressional District 48 (113th - current)",Not a high school graduate,"38,000",9.7,8.9,10.5
"California, Congressional District 48 (113th - current)",High school diploma or GED,"143,000",36.6,35.1,38.1
"California, Congressional District 48 (113th - current)",Associate's Degree,"30,000",7.7,7.0,8.3
"California, Congressional District 48 (113th - current)",Bachelor's Degree,"121,000",31.0,29.9,32.2
"California, Congressional District 48 (113th - current)",Graduate Degree,"59,000",15.0,14.1,15.9
"California, Congressional District 49 (113th - current)",Not a high school graduate,"41,000",10.6,9.6,11.7
"California, Congressional District 49 (113th - current)",High school diploma or GED,"137,000",35.6,34.0,37.2
"California, Congressional District 49 (113th - current)",Associate's Degree,"30,000",7.9,7.1,8.7
"California, Congressional District 49 (113th - current)",Bachelor's Degree,"107,000",27.7,26.2,29.1
"California, Congressional District 49 (113th - current)",Graduate Degree,"70,000",18.2,17.1,19.3
"California, Congressional District 50 (113th - current)",Not a high school graduate,"49,000",12.4,11.4,13.3
"California, Congressional District 50 (113th - current)",High school diploma or GED,"200,000",50.4,48.8,52.0
"California, Congressional District 50 (113th - current)",Associate's Degree,"35,000",8.9,8.0,9.7
"California, Congressional District 50 (113th - current)",Bachelor's Degree,"79,000",19.9,18.8,21.0
"California, Congressional District 50 (113th - current)",Graduate Degree,"34,000",8.5,7.8,9.2
"California, Congressional District 51 (113th - current)",Not a high school graduate,"94,000",24.7,23.5,25.9
"California, Congressional District 51 (113th - current)",High school diploma or GED,"203,000",53.1,51.5,54.8
"California, Congressional District 51 (113th - current)",Associate's Degree,"27,000",7.0,6.2,7.7
"California, Congressional District 51 (113th - current)",Bachelor's Degree,"44,000",11.4,10.5,12.3
"California, Congressional District 51 (113th - current)",Graduate Degree,"14,000",3.8,3.3,4.3
"California, Congressional District 52 (113th - current)",Not a high school graduate,"16,000",3.7,3.1,4.3
"California, Congressional District 52 (113th - current)",High school diploma or GED,"119,000",27.2,25.8,28.5
"California, Congressional District 52 (113th - current)",Associate's Degree,"35,000",7.9,7.1,8.8
"California, Congressional District 52 (113th - current)",Bachelor's Degree,"155,000",35.5,34.1,36.9
"California, Congressional District 52 (113th - current)",Graduate Degree,"112,000",25.7,24.5,26.8
"California, Congressional District 53 (113th - current)",Not a high school graduate,"39,000",8.9,8.1,9.8
"California, Congressional District 53 (113th - current)",High school diploma or GED,"185,000",42.3,40.8,43.9
"California, Congressional District 53 (113th - current)",Associate's Degree,"40,000",9.2,8.4,9.9
"California, Congressional District 53 (113th - current)",Bachelor's Degree,"116,000",26.5,25.4,27.7
"California, Congressional District 53 (113th - current)",Graduate Degree,"57,000",13.0,12.2,13.8
"Colorado, Congressional District 1 (113th - current)",Not a high school graduate,"50,000",10.0,9.2,10.8
"Colorado, Congressional District 1 (113th - current)",High school diploma or GED,"168,000",33.8,32.5,35.2
"Colorado, Congressional District 1 (113th - current)",Associate's Degree,"30,000",6.0,5.4,6.6
"Colorado, Congressional District 1 (113th - current)",Bachelor's Degree,"159,000",32.0,30.9,33.1
"Colorado, Congressional District 1 (113th - current)",Graduate Degree,"90,000",18.2,17.3,19.0
"Colorado, Congressional District 2 (113th - current)",Not a high school graduate,"16,000",3.8,3.2,4.4
"Colorado, Congressional District 2 (113th - current)",High school diploma or GED,"133,000",31.5,30.2,32.9
"Colorado, Congressional District 2 (113th - current)",Associate's Degree,"32,000",7.6,6.9,8.2
"Colorado, Congressional District 2 (113th - current)",Bachelor's Degree,"149,000",35.4,34.2,36.7
"Colorado, Congressional District 2 (113th - current)",Graduate Degree,"91,000",21.7,20.7,22.6
"Colorado, Congressional District 3 (113th - current)",Not a high school graduate,"36,000",9.3,8.4,10.2
"Colorado, Congressional District 3 (113th - current)",High school diploma or GED,"198,000",50.9,49.2,52.5
"Colorado, Congressional District 3 (113th - current)",Associate's Degree,"37,000",9.5,8.8,10.3
"Colorado, Congressional District 3 (113th - current)",Bachelor's Degree,"83,000",21.3,20.2,22.4
"Colorado, Congressional District 3 (113th - current)",Graduate Degree,"35,000",9.0,8.3,9.7
"Colorado, Congressional District 4 (113th - current)",Not a high school graduate,"39,000",9.0,8.2,9.7
"Colorado, Congressional District 4 (113th - current)",High school diploma or GED,"189,000",43.6,42.2,45.0
"Colorado, Congressional District 4 (113th - current)",Associate's Degree,"43,000",9.9,9.2,10.6
"Colorado, Congressional District 4 (113th - current)",Bachelor's Degree,"111,000",25.5,24.5,26.5
"Colorado, Congressional District 4 (113th - current)",Graduate Degree,"52,000",12.0,11.3,12.7
"Colorado, Congressional District 5 (113th - current)",Not a high school graduate,"24,000",5.7,5.0,6.4
"Colorado, Congressional District 5 (113th - current)",High school diploma or GED,"195,000",46.2,44.6,47.7
"Colorado, Congressional District 5 (113th - current)",Associate's Degree,"46,000",10.8,10.0,11.6
"Colorado, Congressional District 5 (113th - current)",Bachelor's Degree,"99,000",23.3,22.3,24.4
"Colorado, Congressional District 5 (113th - current)",Graduate Degree,"59,000",14.0,13.2,14.8
"Colorado, Congressional District 6 (113th - current)",Not a high school graduate,"38,000",8.5,7.8,9.3
"Colorado, Congressional District 6 (113th - current)",High school diploma or GED,"178,000",39.7,38.3,41.1
"Colorado, Congressional District 6 (113th - current)",Associate's Degree,"38,000",8.5,7.9,9.2
"Colorado, Congressional District 6 (113th - current)",Bachelor's Degree,"129,000",28.9,27.9,29.9
"Colorado, Congressional District 6 (113th - current)",Graduate Degree,"64,000",14.3,13.5,15.1
"Colorado, Congressional District 7 (113th - current)",Not a high school graduate,"47,000",10.7,9.8,11.6
"Colorado, Congressional District 7 (113th - current)",High school diploma or GED,"198,000",45.1,43.7,46.6
"Colorado, Congressional District 7 (113th - current)",Associate's Degree,"38,000",8.7,8.0,9.3
"Colorado, Congressional District 7 (113th - current)",Bachelor's Degree,"104,000",23.8,22.8,24.8
"Colorado, Congressional District 7 (113th - current)",Graduate Degree,"51,000",11.7,11.0,12.4
"Connecticut, Congressional District 1 (113th - current)",Not a high school graduate,"34,000",9.2,8.2,10.1
"Connecticut, Congressional District 1 (113th - current)",High school diploma or GED,"155,000",42.0,40.5,43.5
"Connecticut, Congressional District 1 (113th - current)",Associate's Degree,"35,000",9.4,8.6,10.3
"Connecticut, Congressional District 1 (113th - current)",Bachelor's Degree,"82,000",22.1,21.1,23.2
"Connecticut, Congressional District 1 (113th - current)",Graduate Degree,"64,000",17.3,16.4,18.2
"Connecticut, Congressional District 2 (113th - current)",Not a high school graduate,"23,000",6.2,5.5,6.9
"Connecticut, Congressional District 2 (113th - current)",High school diploma or GED,"177,000",48.2,46.7,49.8
"Connecticut, Congressional District 2 (113th - current)",Associate's Degree,"35,000",9.5,8.7,10.3
"Connecticut, Congressional District 2 (113th - current)",Bachelor's Degree,"79,000",21.4,20.3,22.5
"Connecticut, Congressional District 2 (113th - current)",Graduate Degree,"54,000",14.6,13.7,15.5
"Connecticut, Congressional District 3 (113th - current)",Not a high school graduate,"23,000",6.1,5.3,6.8
"Connecticut, Congressional District 3 (113th - current)",High school diploma or GED,"177,000",47.0,45.3,48.8
"Connecticut, Congressional District 3 (113th - current)",Associate's Degree,"34,000",8.9,8.1,9.7
"Connecticut, Congressional District 3 (113th - current)",Bachelor's Degree,"81,000",21.6,20.3,22.8
"Connecticut, Congressional District 3 (113th - current)",Graduate Degree,"62,000",16.4,15.4,17.4
"Connecticut, Congressional District 4 (113th - current)",Not a high school graduate,"38,000",9.8,8.9,10.7
"Connecticut, Congressional District 4 (113th - current)",High school diploma or GED,"127,000",32.6,31.2,34.1
"Connecticut, Congressional District 4 (113th - current)",Associate's Degree,"24,000",6.3,5.6,7.0
"Connecticut, Congressional District 4 (113th - current)",Bachelor's Degree,"111,000",28.6,27.6,29.6
"Connecticut, Congressional District 4 (113th - current)",Graduate Degree,"88,000",22.7,21.7,23.7
"Connecticut, Congressional District 5 (113th - current)",Not a high school graduate,"39,000",9.9,9.0,10.8
"Connecticut, Congressional District 5 (113th - current)",High school diploma or GED,"171,000",43.7,42.3,45.1
"Connecticut, Congressional District 5 (113th - current)",Associate's Degree,"33,000",8.5,7.7,9.2
"Connecticut, Congressional District 5 (113th - current)",Bachelor's Degree,"90,000",22.9,21.8,24.1
"Connecticut, Congressional District 5 (113th - current)",Graduate Degree,"59,000",15.0,14.2,15.8
"Delaware, Congressional District (at Large) (113th - current)",Not a high school graduate,"44,000",8.8,8.0,9.5
"Delaware, Congressional District (at Large) (113th - current)",High school diploma or GED,"254,000",50.9,49.4,52.3
"Delaware, Congressional District (at Large) (113th - current)",Associate's Degree,"40,000",8.0,7.4,8.7
"Delaware, Congressional District (at Large) (113th - current)",Bachelor's Degree,"97,000",19.3,18.4,20.2
"Delaware, Congressional District (at Large) (113th - current)",Graduate Degree,"65,000",13.1,12.3,13.8
"District of Columbia, Delegate District (at Large) (113th - current)",Not a high school graduate,"33,000",8.2,7.4,9.0
"District of Columbia, Delegate District (at Large) (113th - current)",High school diploma or GED,"117,000",28.5,27.1,29.8
"District of Columbia, Delegate District (at Large) (113th - current)",Associate's Degree,"13,000",3.3,2.7,3.8
"District of Columbia, Delegate District (at Large) (113th - current)",Bachelor's Degree,"105,000",25.7,24.5,26.9
"District of Columbia, Delegate District (at Large) (113th - current)",Graduate Degree,"141,000",34.4,33.3,35.6
"Florida, Congressional District 1 (113th - current)",Not a high school graduate,"36,000",8.9,8.0,9.7
"Florida, Congressional District 1 (113th - current)",High school diploma or GED,"200,000",49.5,47.8,51.2
"Florida, Congressional District 1 (113th - current)",Associate's Degree,"58,000",14.3,13.2,15.4
"Florida, Congressional District 1 (113th - current)",Bachelor's Degree,"75,000",18.5,17.3,19.6
"Florida, Congressional District 1 (113th - current)",Graduate Degree,"36,000",8.9,8.1,9.8
"Florida, Congressional District 2 (113th - current)",Not a high school graduate,"42,000",11.4,10.4,12.4
"Florida, Congressional District 2 (113th - current)",High school diploma or GED,"204,000",54.8,53.1,56.6
"Florida, Congressional District 2 (113th - current)",Associate's Degree,"37,000",9.8,9.0,10.6
"Florida, Congressional District 2 (113th - current)",Bachelor's Degree,"56,000",15.2,14.2,16.2
"Florida, Congressional District 2 (113th - current)",Graduate Degree,"33,000",8.8,8.0,9.6
"Florida, Congressional District 3 (113th - current)",Not a high school graduate,"45,000",12.1,11.0,13.2
"Florida, Congressional District 3 (113th - current)",High school diploma or GED,"188,000",50.6,48.7,52.5
"Florida, Congressional District 3 (113th - current)",Associate's Degree,"39,000",10.4,9.5,11.3
"Florida, Congressional District 3 (113th - current)",Bachelor's Degree,"59,000",15.8,14.7,16.9
"Florida, Congressional District 3 (113th - current)",Graduate Degree,"42,000",11.2,10.2,12.1
"Florida, Congressional District 4 (113th - current)",Not a high school graduate,"30,000",6.8,6.0,7.7
"Florida, Congressional District 4 (113th - current)",High school diploma or GED,"181,000",41.4,39.7,43.2
"Florida, Congressional District 4 (113th - current)",Associate's Degree,"47,000",10.8,9.8,11.7
"Florida, Congressional District 4 (113th - current)",Bachelor's Degree,"119,000",27.3,25.9,28.6
"Florida, Congressional District 4 (113th - current)",Graduate Degree,"60,000",13.7,12.8,14.6
"Florida, Congressional District 5 (113th - current)",Not a high school graduate,"45,000",11.9,10.9,12.8
"Florida, Congressional District 5 (113th - current)",High school diploma or GED,"216,000",57.5,55.6,59.3
"Florida, Congressional District 5 (113th - current)",Associate's Degree,"36,000",9.5,8.7,10.4
"Florida, Congressional District 5 (113th - current)",Bachelor's Degree,"54,000",14.4,13.3,15.4
"Florida, Congressional District 5 (113th - current)",Graduate Degree,"26,000",6.8,6.1,7.5
"Florida, Congressional District 6 (113th - current)",Not a high school graduate,"36,000",9.5,8.5,10.5
"Florida, Congressional District 6 (113th - current)",High school diploma or GED,"210,000",55.6,53.7,57.5
"Florida, Congressional District 6 (113th - current)",Associate's Degree,"44,000",11.8,10.7,12.8
"Florida, Congressional District 6 (113th - current)",Bachelor's Degree,"57,000",15.1,14.1,16.1
"Florida, Congressional District 6 (113th - current)",Graduate Degree,"31,000",8.1,7.3,8.9
"Florida, Congressional District 7 (113th - current)",Not a high school graduate,"18,000",4.2,3.6,4.8
"Florida, Congressional District 7 (113th - current)",High school diploma or GED,"152,000",35.8,34.2,37.4
"Florida, Congressional District 7 (113th - current)",Associate's Degree,"72,000",17.0,15.9,18.2
"Florida, Congressional District 7 (113th - current)",Bachelor's Degree,"124,000",29.2,27.9,30.5
"Florida, Congressional District 7 (113th - current)",Graduate Degree,"59,000",13.8,12.8,14.7
"Florida, Congressional District 8 (113th - current)",Not a high school graduate,"27,000",7.3,6.3,8.2
"Florida, Congressional District 8 (113th - current)",High school diploma or GED,"181,000",48.1,46.1,50.0
"Florida, Congressional District 8 (113th - current)",Associate's Degree,"52,000",13.8,12.6,14.9
"Florida, Congressional District 8 (113th - current)",Bachelor's Degree,"74,000",19.8,18.6,21.0
"Florida, Congressional District 8 (113th - current)",Graduate Degree,"42,000",11.1,10.1,12.1
"Florida, Congressional District 9 (113th - current)",Not a high school graduate,"52,000",11.6,10.4,12.8
"Florida, Congressional District 9 (113th - current)",High school diploma or GED,"233,000",52.3,50.2,54.3
"Florida, Congressional District 9 (113th - current)",Associate's Degree,"54,000",12.0,11.1,13.0
"Florida, Congressional District 9 (113th - current)",Bachelor's Degree,"74,000",16.6,15.4,17.8
"Florida, Congressional District 9 (113th - current)",Graduate Degree,"34,000",7.5,6.7,8.4
"Florida, Congressional District 10 (113th - current)",Not a high school graduate,"46,000",10.0,9.1,11.0
"Florida, Congressional District 10 (113th - current)",High school diploma or GED,"206,000",44.7,42.9,46.4
"Florida, Congressional District 10 (113th - current)",Associate's Degree,"64,000",13.8,12.7,14.9
"Florida, Congressional District 10 (113th - current)",Bachelor's Degree,"105,000",22.7,21.4,24.0
"Florida, Congressional District 10 (113th - current)",Graduate Degree,"41,000",8.8,8.0,9.6
"Florida, Congressional District 11 (113th - current)",Not a high school graduate,"38,000",11.6,10.5,12.7
"Florida, Congressional District 11 (113th - current)",High school diploma or GED,"194,000",59.9,58.0,61.9
"Florida, Congressional District 11 (113th - current)",Associate's Degree,"30,000",9.1,8.3,10.0
"Florida, Congressional District 11 (113th - current)",Bachelor's Degree,"43,000",13.2,12.1,14.3
"Florida, Congressional District 11 (113th - current)",Graduate Degree,"20,000",6.1,5.3,6.8
"Florida, Congressional District 12 (113th - current)",Not a high school graduate,"33,000",8.6,7.8,9.4
"Florida, Congressional District 12 (113th - current)",High school diploma or GED,"198,000",51.1,49.6,52.7
"Florida, Congressional District 12 (113th - current)",Associate's Degree,"45,000",11.5,10.6,12.4
"Florida, Congressional District 12 (113th - current)",Bachelor's Degree,"76,000",19.6,18.5,20.7
"Florida, Congressional District 12 (113th - current)",Graduate Degree,"35,000",9.1,8.4,9.8
"Florida, Congressional District 13 (113th - current)",Not a high school graduate,"37,000",9.4,8.5,10.4
"Florida, Congressional District 13 (113th - current)",High school diploma or GED,"194,000",49.3,47.5,51.1
"Florida, Congressional District 13 (113th - current)",Associate's Degree,"41,000",10.5,9.6,11.4
"Florida, Congressional District 13 (113th - current)",Bachelor's Degree,"81,000",20.6,19.6,21.7
"Florida, Congressional District 13 (113th - current)",Graduate Degree,"40,000",10.1,9.4,10.8
"Florida, Congressional District 14 (113th - current)",Not a high school graduate,"40,000",9.4,8.6,10.2
"Florida, Congressional District 14 (113th - current)",High school diploma or GED,"187,000",43.6,41.9,45.3
"Florida, Congressional District 14 (113th - current)",Associate's Degree,"40,000",9.3,8.5,10.0
"Florida, Congressional District 14 (113th - current)",Bachelor's Degree,"106,000",24.7,23.4,25.9
"Florida, Congressional District 14 (113th - current)",Graduate Degree,"56,000",13.1,12.3,13.9
"Florida, Congressional District 15 (113th - current)",Not a high school graduate,"49,000",11.7,10.6,12.8
"Florida, Congressional District 15 (113th - current)",High school diploma or GED,"215,000",51.3,49.7,52.9
"Florida, Congressional District 15 (113th - current)",Associate's Degree,"44,000",10.4,9.5,11.2
"Florida, Congressional District 15 (113th - current)",Bachelor's Degree,"78,000",18.7,17.5,19.8
"Florida, Congressional District 15 (113th - current)",Graduate Degree,"34,000",8.0,7.2,8.7
"Florida, Congressional District 16 (113th - current)",Not a high school graduate,"37,000",9.6,8.6,10.6
"Florida, Congressional District 16 (113th - current)",High school diploma or GED,"185,000",47.8,46.0,49.6
"Florida, Congressional District 16 (113th - current)",Associate's Degree,"40,000",10.2,9.3,11.1
"Florida, Congressional District 16 (113th - current)",Bachelor's Degree,"82,000",21.1,19.9,22.4
"Florida, Congressional District 16 (113th - current)",Graduate Degree,"43,000",11.2,10.4,12.1
"Florida, Congressional District 17 (113th - current)",Not a high school graduate,"49,000",14.0,12.9,15.2
"Florida, Congressional District 17 (113th - current)",High school diploma or GED,"199,000",56.7,54.8,58.6
"Florida, Congressional District 17 (113th - current)",Associate's Degree,"35,000",9.9,9.0,10.9
"Florida, Congressional District 17 (113th - current)",Bachelor's Degree,"44,000",12.7,11.6,13.7
"Florida, Congressional District 17 (113th - current)",Graduate Degree,"23,000",6.6,5.9,7.4
"Florida, Congressional District 18 (113th - current)",Not a high school graduate,"37,000",10.0,8.8,11.1
"Florida, Congressional District 18 (113th - current)",High school diploma or GED,"179,000",47.8,45.8,49.8
"Florida, Congressional District 18 (113th - current)",Associate's Degree,"41,000",11.0,10.0,12.1
"Florida, Congressional District 18 (113th - current)",Bachelor's Degree,"81,000",21.7,20.3,23.1
"Florida, Congressional District 18 (113th - current)",Graduate Degree,"36,000",9.6,8.7,10.4
"Florida, Congressional District 19 (113th - current)",Not a high school graduate,"40,000",10.8,9.6,12.0
"Florida, Congressional District 19 (113th - current)",High school diploma or GED,"182,000",49.3,47.3,51.3
"Florida, Congressional District 19 (113th - current)",Associate's Degree,"40,000",10.9,9.9,12.0
"Florida, Congressional District 19 (113th - current)",Bachelor's Degree,"73,000",19.9,18.7,21.1
"Florida, Congressional District 19 (113th - current)",Graduate Degree,"33,000",9.0,8.3,9.8
"Florida, Congressional District 20 (113th - current)",Not a high school graduate,"59,000",14.1,13.0,15.3
"Florida, Congressional District 20 (113th - current)",High school diploma or GED,"223,000",53.9,52.0,55.7
"Florida, Congressional District 20 (113th - current)",Associate's Degree,"41,000",9.9,8.9,10.9
"Florida, Congressional District 20 (113th - current)",Bachelor's Degree,"59,000",14.2,13.1,15.2
"Florida, Congressional District 20 (113th - current)",Graduate Degree,"33,000",8.0,7.0,8.9
"Florida, Congressional District 21 (113th - current)",Not a high school graduate,"48,000",12.4,11.2,13.5
"Florida, Congressional District 21 (113th - current)",High school diploma or GED,"168,000",43.5,41.6,45.3
"Florida, Congressional District 21 (113th - current)",Associate's Degree,"39,000",10.0,9.2,10.9
"Florida, Congressional District 21 (113th - current)",Bachelor's Degree,"87,000",22.6,21.3,23.8
"Florida, Congressional District 21 (113th - current)",Graduate Degree,"45,000",11.6,10.7,12.4
"Florida, Congressional District 22 (113th - current)",Not a high school graduate,"32,000",7.8,6.9,8.7
"Florida, Congressional District 22 (113th - current)",High school diploma or GED,"174,000",42.3,40.7,44.0
"Florida, Congressional District 22 (113th - current)",Associate's Degree,"41,000",9.9,9.1,10.8
"Florida, Congressional District 22 (113th - current)",Bachelor's Degree,"107,000",26.1,24.9,27.3
"Florida, Congressional District 22 (113th - current)",Graduate Degree,"57,000",13.8,12.9,14.7
"Florida, Congressional District 23 (113th - current)",Not a high school graduate,"23,000",5.7,5.0,6.4
"Florida, Congressional District 23 (113th - current)",High school diploma or GED,"159,000",39.4,37.7,41.0
"Florida, Congressional District 23 (113th - current)",Associate's Degree,"48,000",11.8,10.8,12.8
"Florida, Congressional District 23 (113th - current)",Bachelor's Degree,"112,000",27.7,26.3,29.0
"Florida, Congressional District 23 (113th - current)",Graduate Degree,"63,000",15.5,14.5,16.5
"Florida, Congressional District 24 (113th - current)",Not a high school graduate,"71,000",16.8,15.5,18.1
"Florida, Congressional District 24 (113th - current)",High school diploma or GED,"220,000",51.7,50.0,53.5
"Florida, Congressional District 24 (113th - current)",Associate's Degree,"41,000",9.7,8.8,10.6
"Florida, Congressional District 24 (113th - current)",Bachelor's Degree,"62,000",14.7,13.7,15.8
"Florida, Congressional District 24 (113th - current)",Graduate Degree,"30,000",7.0,6.3,7.7
"Florida, Congressional District 25 (113th - current)",Not a high school graduate,"69,000",16.4,15.3,17.5
"Florida, Congressional District 25 (113th - current)",High school diploma or GED,"199,000",47.5,45.9,49.1
"Florida, Congressional District 25 (113th - current)",Associate's Degree,"48,000",11.4,10.4,12.5
"Florida, Congressional District 25 (113th - current)",Bachelor's Degree,"71,000",16.8,15.6,18.0
"Florida, Congressional District 25 (113th - current)",Graduate Degree,"33,000",7.9,7.1,8.6
"Florida, Congressional District 26 (113th - current)",Not a high school graduate,"66,000",15.1,14.0,16.3
"Florida, Congressional District 26 (113th - current)",High school diploma or GED,"197,000",45.2,43.6,46.8
"Florida, Congressional District 26 (113th - current)",Associate's Degree,"48,000",11.0,10.0,11.9
"Florida, Congressional District 26 (113th - current)",Bachelor's Degree,"91,000",20.9,19.7,22.1
"Florida, Congressional District 26 (113th - current)",Graduate Degree,"34,000",7.7,6.9,8.5
"Florida, Congressional District 27 (113th - current)",Not a high school graduate,"38,000",9.0,8.1,9.9
"Florida, Congressional District 27 (113th - current)",High school diploma or GED,"155,000",36.7,35.2,38.2
"Florida, Congressional District 27 (113th - current)",Associate's Degree,"45,000",10.6,9.6,11.6
"Florida, Congressional District 27 (113th - current)",Bachelor's Degree,"110,000",25.9,24.6,27.2
"Florida, Congressional District 27 (113th - current)",Graduate Degree,"75,000",17.7,16.7,18.7
"Georgia, Congressional District 1 (113th - current)",Not a high school graduate,"44,000",11.3,10.3,12.3
"Georgia, Congressional District 1 (113th - current)",High school diploma or GED,"211,000",54.6,52.8,56.4
"Georgia, Congressional District 1 (113th - current)",Associate's Degree,"37,000",9.6,8.7,10.5
"Georgia, Congressional District 1 (113th - current)",Bachelor's Degree,"59,000",15.1,14.1,16.2
"Georgia, Congressional District 1 (113th - current)",Graduate Degree,"36,000",9.4,8.5,10.2
"Georgia, Congressional District 2 (113th - current)",Not a high school graduate,"47,000",13.7,12.7,14.8
"Georgia, Congressional District 2 (113th - current)",High school diploma or GED,"203,000",59.8,57.8,61.7
"Georgia, Congressional District 2 (113th - current)",Associate's Degree,"31,000",9.0,8.1,9.8
"Georgia, Congressional District 2 (113th - current)",Bachelor's Degree,"37,000",10.9,10.0,11.8
"Georgia, Congressional District 2 (113th - current)",Graduate Degree,"23,000",6.6,5.9,7.3
"Georgia, Congressional District 3 (113th - current)",Not a high school graduate,"40,000",10.5,9.5,11.4
"Georgia, Congressional District 3 (113th - current)",High school diploma or GED,"201,000",52.1,50.3,54.0
"Georgia, Congressional District 3 (113th - current)",Associate's Degree,"33,000",8.5,7.7,9.4
"Georgia, Congressional District 3 (113th - current)",Bachelor's Degree,"75,000",19.5,18.3,20.6
"Georgia, Congressional District 3 (113th - current)",Graduate Degree,"36,000",9.4,8.6,10.2
"Georgia, Congressional District 4 (113th - current)",Not a high school graduate,"46,000",11.2,10.1,12.2
"Georgia, Congressional District 4 (113th - current)",High school diploma or GED,"205,000",49.4,47.6,51.3
"Georgia, Congressional District 4 (113th - current)",Associate's Degree,"38,000",9.1,8.2,10.0
"Georgia, Congressional District 4 (113th - current)",Bachelor's Degree,"75,000",18.2,17.1,19.3
"Georgia, Congressional District 4 (113th - current)",Graduate Degree,"50,000",12.2,11.3,13.0
"Georgia, Congressional District 5 (113th - current)",Not a high school graduate,"43,000",10.1,9.1,11.0
"Georgia, Congressional District 5 (113th - current)",High school diploma or GED,"175,000",40.6,39.1,42.2
"Georgia, Congressional District 5 (113th - current)",Associate's Degree,"27,000",6.3,5.6,7.1
"Georgia, Congressional District 5 (113th - current)",Bachelor's Degree,"108,000",25.1,24.0,26.2
"Georgia, Congressional District 5 (113th - current)",Graduate Degree,"77,000",17.9,16.9,18.8
"Georgia, Congressional District 6 (113th - current)",Not a high school graduate,"24,000",5.5,4.9,6.2
"Georgia, Congressional District 6 (113th - current)",High school diploma or GED,"105,000",24.5,23.1,25.9
"Georgia, Congressional District 6 (113th - current)",Associate's Degree,"24,000",5.6,4.9,6.3
"Georgia, Congressional District 6 (113th - current)",Bachelor's Degree,"173,000",40.4,39.1,41.7
"Georgia, Congressional District 6 (113th - current)",Graduate Degree,"103,000",24.0,22.8,25.1
"Georgia, Congressional District 7 (113th - current)",Not a high school graduate,"45,000",10.3,9.2,11.3
"Georgia, Congressional District 7 (113th - current)",High school diploma or GED,"158,000",36.2,34.5,37.9
"Georgia, Congressional District 7 (113th - current)",Associate's Degree,"41,000",9.4,8.4,10.3
